Time,Producer,Primary,Secondary,Decomposer
0,5,5,3,10
1,5,5,3,10
2,5,5,3,10
3,5,5,3,10
4,4,5,3,10
5,4,5,3,10
6,4,5,3,10
7,4,4,3,10
8,4,4,3,10
9,3,3,3,10
10,6,3,2,10
11,6,3,2,10
12,6,3,2,10
13,6,3,2,10
14,6,2,2,10
15,6,2,2,10
16,6,2,1,10
17,4,2,1,10
18,3,2,1,10
19,3,2,1,10
20,3,2,1,10
21,3,2,1,10
22,3,2,0,10
23,3,2,0,10
24,5,3,0,10
25,4,3,0,10
26,4,3,0,10
27,4,3,0,10
28,4,3,0,11
29,4,3,0,12
30,4,3,0,12
31,4,3,0,12
32,4,3,0,12
33,4,3,0,12
34,4,3,0,12
35,4,3,0,12
36,4,3,0,12
37,8,3,0,12
38,8,3,0,12
39,8,3,0,12
40,8,3,0,12
41,8,3,0,12
42,8,3,0,12
43,8,3,0,12
44,8,3,0,13
45,8,3,0,13
46,8,3,0,13
47,8,2,0,13
48,8,2,0,13
49,8,2,0,13
50,8,2,0,7
51,16,2,0,7
52,16,2,0,7
53,16,2,0,7
54,16,2,0,7
55,16,1,0,7
56,16,1,0,7
57,16,1,0,7
58,16,1,0,7
59,16,1,0,7
60,16,1,0,7
61,16,1,0,7
62,16,0,0,7
63,16,0,0,7
64,32,0,0,7
65,32,0,0,7
66,32,0,0,7
67,32,0,0,7
68,32,0,0,7
69,32,0,0,5
70,32,0,0,3
71,32,0,0,3
72,32,0,0,3
73,32,0,0,3
74,32,0,0,3
75,32,0,0,3
76,32,0,0,3
77,64,0,0,3
78,64,0,0,3
79,64,0,0,3
80,64,0,0,2
81,64,0,0,2
82,64,0,0,2
83,64,0,0,2
84,64,0,0,2
85,64,0,0,2
86,64,0,0,2
87,64,0,0,2
88,64,0,0,2
89,64,0,0,2
90,64,0,0,2
91,128,0,0,2
92,128,0,0,0
93,128,0,0,0
94,128,0,0,0
95,128,0,0,0
96,128,0,0,0
97,128,0,0,0
98,128,0,0,0
99,128,0,0,0
100,128,0,0,0
101,128,0,0,0
102,128,0,0,0
103,128,0,0,0
104,256,0,0,0
105,256,0,0,0
106,256,0,0,0
107,256,0,0,0
108,256,0,0,0
109,256,0,0,0
110,256,0,0,0
111,256,0,0,0
112,256,0,0,0
113,256,0,0,0
114,256,0,0,0
115,256,0,0,0
116,256,0,0,0
117,512,0,0,0
118,512,0,0,0
119,512,0,0,0
120,512,0,0,0
121,512,0,0,0
122,512,0,0,0
