Time,Producer,Primary,Secondary,Decomposer
0,512,0,0,0
1,20,5,10,10
2,20,5,10,10
3,20,5,10,10
4,20,5,10,10
5,20,4,10,10
6,20,4,10,10
7,20,3,10,10
8,19,3,10,10
9,17,3,10,10
10,17,2,10,10
11,34,2,3,10
12,34,2,3,11
13,34,2,3,11
14,34,2,3,11
15,34,2,3,11
16,34,2,3,11
17,34,2,0,11
18,34,2,0,11
19,34,2,0,11
20,34,2,0,11
21,33,2,0,11
22,33,2,0,11
23,33,2,0,11
24,66,2,0,11
25,64,3,0,11
26,63,3,0,11
27,63,3,0,11
28,62,3,0,11
29,61,3,0,11
30,60,4,0,11
31,60,4,0,11
32,60,4,0,11
33,60,4,0,11
34,59,4,0,11
35,58,5,0,11
36,57,5,0,11
37,112,6,0,11
38,110,6,0,11
39,109,7,0,12
40,107,8,0,12
41,107,8,0,12
42,107,8,0,13
43,107,8,0,13
44,105,8,0,14
45,104,8,0,14
46,102,8,0,14
47,100,10,0,14
48,99,10,0,14
49,99,10,0,15
50,97,11,0,15
51,192,11,0,10
52,190,12,0,11
53,189,12,0,11
54,186,12,0,11
55,184,12,0,11
56,182,12,0,11
57,180,14,0,11
58,178,15,0,11
59,174,15,0,12
60,174,16,0,12
61,174,16,0,11
62,172,17,0,11
63,168,17,0,11
64,332,17,0,11
65,330,18,0,11
66,327,18,0,12
67,325,20,0,12
68,323,20,0,12
69,320,20,0,12
70,315,21,0,12
71,309,21,0,12
72,303,23,0,12
73,298,24,0,14
74,294,25,0,14
75,292,26,0,15
76,288,26,0,15
77,568,29,0,16
78,560,27,0,16
79,549,28,0,16
80,533,33,0,15
81,517,33,0,15
82,510,34,0,15
83,498,36,0,16
84,493,40,0,16
85,485,43,0,17
86,469,43,0,18
87,461,43,0,19
88,446,46,0,19
89,438,48,0,19
90,433,52,0,19
91,851,52,0,19
92,838,53,0,17
93,811,55,0,18
94,787,61,0,18
95,763,66,0,18
96,737,67,0,19
97,715,69,0,20
98,686,76,0,20
99,656,83,0,20
100,624,93,0,21
101,593,93,0,21
102,558,93,0,19
103,522,101,0,20
104,987,104,0,20
105,930,113,0,20
106,896,118,0,21
107,836,121,0,22
108,787,136,0,23
109,730,147,0,26
110,666,154,0,27
111,599,166,0,28
112,527,165,0,29
113,457,179,0,29
114,400,194,0,30
115,346,206,0,32
116,303,215,0,36
117,252,221,0,37
118,417,234,0,40
119,342,250,0,40
120,275,265,0,41
121,224,273,0,44
122,167,277,0,46
123,127,281,0,47
124,98,298,0,50
125,72,309,0,50
126,53,312,0,56
127,37,318,0,59
128,34,320,0,60
129,30,330,0,63
130,26,336,0,64
131,36,337,0,65
132,47,337,0,69
133,44,337,0,70
134,40,333,0,74
135,39,330,0,75
136,36,328,0,77
137,32,323,0,83
138,30,318,0,84
139,25,305,0,87
140,22,292,0,88
141,18,284,0,89
142,12,274,0,90
143,11,261,0,90
144,9,245,0,91
145,18,237,0,92
146,18,222,0,93
147,16,205,0,94
148,12,195,0,95
149,11,176,0,97
150,9,151,0,98
151,8,140,0,99
152,7,124,0,99
153,5,103,0,99
154,5,93,0,101
155,2,78,0,101
156,1,71,0,101
157,1,64,0,101
158,0,58,0,102
159,0,55,0,102
160,0,50,0,102
161,0,42,0,101
162,0,40,0,101
163,0,36,0,101
164,0,28,0,102
165,0,25,0,102
166,0,25,0,101
167,0,25,0,100
168,0,24,0,96
169,0,21,0,97
170,0,18,0,97
171,0,18,0,97
172,0,16,0,96
173,0,14,0,96
174,0,14,0,93
175,0,13,0,93
176,0,13,0,89
177,0,8,0,87
178,0,8,0,87
179,0,8,0,86
180,0,7,0,84
181,0,6,0,77
182,0,5,0,74
183,0,5,0,70
184,0,4,0,68
185,0,4,0,60
186,0,4,0,57
187,0,4,0,55
188,0,3,0,53
189,0,3,0,50
190,0,2,0,48
191,0,0,0,44
192,0,0,0,42
193,0,0,0,41
194,0,0,0,40
195,0,0,0,37
196,0,0,0,36
197,0,0,0,35
198,0,0,0,31
199,0,0,0,30
200,0,0,0,30
201,0,0,0,30
202,0,0,0,30
203,0,0,0,25
204,0,0,0,24
205,0,0,0,24
206,0,0,0,21
207,0,0,0,21
208,0,0,0,19
209,0,0,0,19
210,0,0,0,19
211,0,0,0,16
212,0,0,0,16
213,0,0,0,14
214,0,0,0,13
215,0,0,0,10
216,0,0,0,9
217,0,0,0,8
218,0,0,0,8
219,0,0,0,6
220,0,0,0,6
221,0,0,0,6
222,0,0,0,6
223,0,0,0,5
224,0,0,0,5
225,0,0,0,5
226,0,0,0,4
227,0,0,0,2
228,0,0,0,1
229,0,0,0,1
230,0,0,0,1
231,0,0,0,1
232,0,0,0,1
233,0,0,0,1
234,0,0,0,1
235,0,0,0,1
236,0,0,0,1
237,0,0,0,1
238,0,0,0,1
239,0,0,0,1
240,0,0,0,1
241,0,0,0,1
242,0,0,0,1
243,0,0,0,1
244,0,0,0,1
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
