Time,Producer,Primary,Secondary,Decomposer
0,20,5,3,10
1,20,5,3,10
2,20,5,3,10
3,20,5,3,10
4,20,5,3,10
5,20,5,3,10
6,20,5,3,10
7,19,5,3,10
8,18,4,3,10
9,18,4,3,10
10,18,4,1,10
11,18,4,1,10
12,17,4,1,10
13,17,4,1,10
14,17,4,1,10
15,17,4,1,10
16,16,4,0,10
17,15,4,0,10
18,15,4,0,10
19,15,4,0,10
20,15,4,0,10
21,15,4,0,11
22,14,4,0,11
23,14,4,0,11
24,14,4,0,11
25,14,3,0,11
26,13,4,0,11
27,12,5,0,11
28,12,5,0,11
29,11,5,0,11
30,10,5,0,11
31,10,5,0,11
32,10,5,0,11
33,10,5,0,11
34,10,5,0,11
35,10,5,0,11
36,10,5,0,11
37,10,5,0,11
38,9,6,0,11
39,9,6,0,11
40,9,5,0,11
41,9,5,0,11
42,9,5,0,11
43,9,5,0,11
44,8,5,0,11
45,8,5,0,11
46,8,5,0,11
47,7,5,0,11
48,7,5,0,11
49,7,4,0,11
50,0,4,0,5
51,0,4,0,5
52,0,4,0,5
53,0,4,0,5
54,0,4,0,5
55,0,4,0,5
56,0,4,0,5
57,0,4,0,5
58,0,2,0,5
59,0,2,0,5
60,0,2,0,5
61,0,2,0,5
62,0,2,0,5
63,0,2,0,5
64,0,1,0,5
65,0,1,0,5
66,0,1,0,4
67,0,1,0,4
68,0,1,0,4
69,0,1,0,4
70,0,1,0,4
71,0,1,0,4
72,0,1,0,4
73,0,1,0,4
74,0,1,0,4
75,0,1,0,4
76,0,1,0,4
77,0,1,0,4
78,0,0,0,4
79,0,0,0,4
80,0,0,0,3
81,0,0,0,3
82,0,0,0,3
83,0,0,0,3
84,0,0,0,3
85,0,0,0,3
86,0,0,0,3
87,0,0,0,3
88,0,0,0,3
89,0,0,0,3
90,0,0,0,3
91,0,0,0,3
92,0,0,0,3
93,0,0,0,3
94,0,0,0,3
95,0,0,0,3
96,0,0,0,3
97,0,0,0,3
98,0,0,0,3
99,0,0,0,3
100,0,0,0,3
101,0,0,0,3
102,0,0,0,3
103,0,0,0,3
104,0,0,0,3
105,0,0,0,3
106,0,0,0,3
107,0,0,0,3
108,0,0,0,3
109,0,0,0,3
110,0,0,0,2
111,0,0,0,2
112,0,0,0,2
113,0,0,0,2
114,0,0,0,2
115,0,0,0,2
116,0,0,0,2
117,0,0,0,2
118,0,0,0,2
119,0,0,0,2
120,0,0,0,2
121,0,0,0,2
122,0,0,0,2
123,0,0,0,2
124,0,0,0,2
125,0,0,0,2
126,0,0,0,1
127,0,0,0,1
128,0,0,0,1
129,0,0,0,1
130,0,0,0,1
131,0,0,0,1
132,0,0,0,1
133,0,0,0,1
134,0,0,0,1
135,0,0,0,1
136,0,0,0,1
137,0,0,0,1
138,0,0,0,1
139,0,0,0,1
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
